id,_anchor,name_de,specialization_de,post_war_status_de,introduction_de,notes_de
FAC-010,Zofor Domri Mosque,Zofor Domri Moschee,Shuja'iyya Gemeindezentrum,zerstört,Die Moschee im Viertel Shuja'iyya wurde dreimal bombardiert und anschließend von Bodentruppen dem Erdboden gleichgemacht. Systematische Zerstörung ist dokumentiert. Das Gebäude und die Umgebung wurden vollständig vernichtet.,"Abgeschlossen – dreimal bombardiert, dann planiert"
FAC-011,Al-Riad Mosque,Al-Riad-Moschee,Khan Younis Gebetszentrum,zerstört,Eine große Moschee in Khan Younis wurde am 9. März 2024 durch israelische Bombenangriffe schwer beschädigt. Die umfangreichen strukturellen Schäden machen sie unbrauchbar. Die Angriffe auf religiöse Stätten im südlichen Gazastreifen dauern an.,Schwerwiegend – stark beschädigt
FAC-012,Ibn Marwan Mosque,Ibn-Marwan-Moschee,Historische Moschee aus der osmanischen Ära,zerstört,Moschee aus der osmanischen Zeit (17. Jahrhundert). Bedeutendes historisches Bauwerk. Geplanter Abriss: November 2023. Schwere strukturelle Schäden. Verlust eines historischen Kulturerbes.,Schwerwiegend – Große Schäden
FAC-013,Aybaki Mosque,Aybaki-Moschee,Architekturerbe der Mamlukenzeit,zerstört,Moschee aus der Mamlukenzeit (14. Jahrhundert). Bedeutendes architektonisches Erbe. Vollständig zerstört im Dezember 2023. Unersetzlicher historischer Verlust.,Vollständig zerstört
FAC-014,Ibn Othman Mosque,Ibn-Othman-Moschee,Mittelalterliche islamische Architektur,zerstört,Mittelalterliche Moschee mit jahrhundertealter Geschichte. Bedeutend für das islamische Architekturerbe im Gazastreifen. Im November 2023 schwer beschädigt. Seltenes historisches Bauwerk verloren.,Schwerwiegend – stark beschädigt
FAC-015,Mahkamah Mosque,Mahkamah-Moschee,Gerichtsmoschee – Mamlukisches Justizzentrum,zerstört,"Historische Moschee aus der Mamlukenzeit, die mit dem islamischen Gerichtssystem verbunden ist. Bedeutende Stätte des kulturellen und rechtlichen Erbes. Schwer beschädigt im Dezember 2023. Wichtiges Bindeglied zur Justizgeschichte des Gazastreifens.",Schwerwiegend – Große Schäden
FAC-016,Sheikh Zakariyya Mosque,Scheich-Zakariyya-Moschee,Benannt nach einem islamischen Gelehrten,zerstört,"Historische Moschee, benannt nach einem renommierten islamischen Gelehrten. Wichtiges religiöses Bildungszentrum. Anschlagsziel: November 2023. Erhebliche Schäden am Gebäude und der religiösen Bibliothek.",Schwerwiegend – Große Schäden
FAC-017,Al-Shamah Mosque,Al-Shamah-Moschee,Gemeindemoschee aus dem frühen 20. Jahrhundert,zerstört,Die Gemeindemoschee diente dem Viertel in Gaza-Stadt über ein Jahrhundert lang. Sie wurde im Dezember 2023 zerstört. Damit ging das Gotteshaus und das Gemeindezentrum vollständig verloren.,Vollständig zerstört
FAC-018,St. Hilarion Monastery,Kloster St. Hilarion,UNESCO-Weltkulturerbe - ältestes Kloster im Heiligen Land,teilweise beschädigt,"Das 329 n. Chr. gegründete, uralte christliche Kloster ist eines der ältesten christlichen Klöster der Welt und steht auf der Tentativliste des UNESCO-Welterbes. Die archäologische Stätte wurde durch Bombardierungen und Militäroperationen beschädigt. Mosaiken und Bauwerke aus dem 4. Jahrhundert sind gefährdet. Das Kloster repräsentiert das frühchristliche Erbe der Region.",Mittelgradig – Archäologische Stätte beschädigt
FAC-019,Gaza Baptist Church,Gaza Baptistenkirche,Protestantisches christliches Gottesdienstzentrum,teilweise beschädigt,"Eine protestantische Kirche, die eine kleine Baptistengemeinde in Gaza betreut. Sie wurde durch Angriffe auf die Umgebung beschädigt und ist weiterhin in eingeschränktem Umfang geöffnet. Sie bietet vertriebenen Familien Zuflucht und ist Teil des vielfältigen christlichen Erbes von Gaza.",Mittel – Schaden durch nahe Angriffe
FAC-020,Rafah Mosque,Rafah-Moschee,,,,
FAC-021,Multiple Mosques,Mehrere Moscheen,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
