id,_anchor,name_ar,specialization_ar,post_war_status_ar,introduction_ar,introduction_ar,notes_ar
FAC-010,Zofor Domri Mosque,مسجد زوفور دومري,مركز مجتمع الشجاعية,تم تدميرها,Mosque in Shuja'iyya neighborhood bombed on three separate occasions then bulldozed by ground forces. Systematic destruction documented. Complete elimination of structure and surrounding area.,تعرض مسجد في حي الشجاعية للقصف ثلاث مرات منفصلة، ​​ثم هُدم بالجرافات على يد القوات البرية. تم توثيق عملية التدمير الممنهج، حيث تم القضاء على المبنى والمنطقة المحيطة به بالكامل.,مكتمل - تعرض للقصف ثلاث مرات ثم هُدم بالجرافات
FAC-011,Al-Riad Mosque,مسجد الرياض,مركز خان يونس للعبادة,تم تدميرها,Large mosque in Khan Younis heavily damaged by Israeli bombing 9 March 2024. Extensive structural damage rendering it non-functional. Continued attacks on southern Gaza religious sites.,تعرض مسجد كبير في خان يونس لأضرار بالغة جراء قصف إسرائيلي في 9 مارس 2024. وألحقت به أضرار هيكلية جسيمة جعلته غير صالح للاستخدام. واستمرت الهجمات على المواقع الدينية جنوب غزة.,شديد - متضرر بشدة
FAC-012,Ibn Marwan Mosque,مسجد ابن مروان,مسجد تاريخي من العصر العثماني,تم تدميرها,Ottoman-era mosque dating to 17th century. Significant historical architecture. Targeted November 2023. Major structural damage. Loss of historical heritage site.,مسجد يعود تاريخه إلى العصر العثماني في القرن السابع عشر. يتميز بأهمية معمارية تاريخية كبيرة. مُستهدف في نوفمبر 2023. أضرار هيكلية جسيمة. فقدان موقع تراثي تاريخي.,أضرار جسيمة - أضرار بالغة
FAC-013,Aybaki Mosque,مسجد أيباكي,التراث المعماري للعصر المملوكي,تم تدميرها,Mamluk-era mosque from 14th century. Important architectural heritage. Completely destroyed December 2023. Irreplaceable historical loss.,مسجد من العصر المملوكي يعود تاريخه إلى القرن الرابع عشر. تراث معماري هام. دُمر بالكامل في ديسمبر 2023. خسارة تاريخية لا تُعوَّض.,مكتمل - مدمر
FAC-014,Ibn Othman Mosque,مسجد ابن عثمان,العمارة الإسلامية في العصور الوسطى,تم تدميرها,Medieval mosque with centuries of history. Important for Islamic architectural heritage in Gaza. Extensively damaged November 2023. Rare historical structure lost.,مسجدٌ من العصور الوسطى ذو تاريخ عريق يمتد لقرون. يُعدّ معلماً هاماً للتراث المعماري الإسلامي في غزة. تعرّض لأضرار جسيمة في نوفمبر 2023. مبنى تاريخي نادر فُقد.,شديد - متضرر بشكل كبير
FAC-015,Mahkamah Mosque,مسجد المحكمة,مسجد المحكمة - المركز القضائي المملوكي,تم تدميرها,Historic Mamluk-era mosque associated with Islamic court system. Significant cultural and legal heritage site. Sustained major damage December 2023. Important link to Gaza's judicial history.,مسجد تاريخي يعود إلى العصر المملوكي، مرتبط بنظام المحاكم الإسلامية. موقع تراثي ثقافي وقانوني هام. تعرض لأضرار جسيمة في ديسمبر 2023. يمثل حلقة وصل مهمة في تاريخ غزة القضائي.,أضرار جسيمة - أضرار بالغة
FAC-016,Sheikh Zakariyya Mosque,مسجد الشيخ زكريا,سميت على اسم عالم إسلامي,تم تدميرها,Historic mosque named after renowned Islamic scholar. Important religious education center. Targeted November 2023. Significant damage to structure and religious library.,مسجد تاريخي سُمّي على اسم عالم دين إسلامي شهير. مركز تعليمي ديني هام. استُهدف في نوفمبر 2023. لحقت أضرار جسيمة بالهيكل والمكتبة الدينية.,أضرار جسيمة - أضرار بالغة
FAC-017,Al-Shamah Mosque,مسجد الشامة,مسجد مجتمعي يعود إلى أوائل القرن العشرين,تم تدميرها,Community mosque serving Gaza City neighborhood for over century. Destroyed December 2023. Complete loss of worship facility and community center.,مسجدٌ يخدم حيّاً في مدينة غزة منذ أكثر من قرن. دُمِّر في ديسمبر 2023. خسارة كاملة لمبنى العبادة والمركز المجتمعي.,مكتمل - مدمر
FAC-018,St. Hilarion Monastery,دير القديس هيلاريون,موقع تراث عالمي لليونسكو - أقدم دير في الأراضي المقدسة,متضرر جزئياً,Ancient Christian monastery founded 329 AD. One of oldest Christian monasteries in world. UNESCO World Heritage tentative list site. Archaeological site damaged by bombardment and military operations. Fourth century mosaics and structures at risk. Represents early Christian heritage in region.,دير مسيحي قديم تأسس عام 329 ميلادي. يُعدّ من أقدم الأديرة المسيحية في العالم، وهو مُدرج على القائمة المؤقتة لمواقع التراث العالمي لليونسكو. تعرّض الموقع الأثري لأضرار نتيجة القصف والعمليات العسكرية، وتواجه فسيفساء وهياكل من القرن الرابع خطر التلف. يُمثّل هذا الدير التراث المسيحي المبكر في المنطقة.,متوسط ​​- تضرر الموقع الأثري
FAC-019,Gaza Baptist Church,كنيسة غزة المعمدانية,مركز عبادة مسيحي بروتستانتي,متضرر جزئياً,Protestant church serving small Baptist community in Gaza. Damaged by strikes on surrounding area. Continues limited operations. Sheltering displaced families. Part of Gaza's diverse Christian heritage.,كنيسة بروتستانتية تخدم طائفة معمدانية صغيرة في غزة. تضررت جراء الغارات الجوية على المنطقة المحيطة بها، لكنها تواصل عملياتها بشكل محدود، حيث تؤوي عائلات نازحة. تُعد الكنيسة جزءًا من التراث المسيحي المتنوع في غزة.,متوسط ​​- الضرر الناتج عن الضربات القريبة
FAC-020,Rafah Mosque,مسجد رفح,,,,,
FAC-021,Multiple Mosques,مساجد متعددة,,,,,
FAC-022,Abu Salim Mosque,مسجد أبو سالم,,أضرار جسيمة,One of the territory’s oldest places of worship,أحد أقدم أماكن العبادة في المنطقة,أضرار جسيمة - أضرار لحقت بالفناء وجزء من هيكله الرئيسي
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
