incident_id,_anchor,facility_id,attack_type_de,result_de,description_de,full_discription_de
INC-022,Al-Amal Hospital,FAC-005,Belagerung,Drei Tage hintereinander fiel der Hauptgenerator wegen Treibstoffmangels aus.,"Drei Tage in Folge fiel der Hauptgenerator des Al-Amal-Krankenhauses in Khan Younis aufgrund von Treibstoffmangel aus. Das Krankenhaus betreibt seitdem einen kleinen Generator, der den Kreißsaal und die Beleuchtung im Empfangsbereich mit Strom versorgt. Über 8.000 Binnenvertriebene suchen in dieser völlig überfüllten Einrichtung Schutz. Am 15. November versagte auch dieser einzige funktionierende Generator, wodurch die Kommunikation im Krankenhaus unterbrochen wurde und das Leben von 90 Patienten, darunter 25 Intensivpatienten, in Gefahr geriet.",
INC-023,Al-Amal Hospital,FAC-005,nicht identifizierte Umgebung,Bei einem Angriff im Bereich des Al-Amal-Krankenhauses und des Hauptquartiers der Volksrepublik China wurden 12 Personen verletzt (darunter auch Mitarbeiter der Volksrepublik China).,"Bei einem Angriff israelischer Kampfflugzeuge auf die Umgebung des Al-Amal-Krankenhauses und des Hauptquartiers der Volksrepublik China in Khan Younis, wo derzeit rund 14.000 Menschen Zuflucht finden, wurden 12 Angehörige der PRCS-Teams und Vertriebene verletzt. [PRCS on X]",
INC-024,Al-Amal Hospital,FAC-005,nicht identifizierte Umgebung,In der Nähe des Krankenhauses schlugen Splitter ein und versetzten die Patienten in Angst und Schrecken.,"Am 21. und 22. Dezember wurden die umliegenden Krankenhäuser Al-Amal und European in Khan Younis im Süden des Gazastreifens angegriffen. Beide Krankenhäuser sind wichtige medizinische Einrichtungen. Es wurden keine Opfer gemeldet, doch der pakistanische Militärrat (PRCS) gab bekannt, dass Granatsplitter in das Gebäude des Al-Amal-Krankenhauses eindrangen und bei Patienten und Binnenvertriebenen Angst und Panik auslösten.",
INC-025,Al-Amal Hospital,FAC-005,Drohnenangriff,"Der 13-jährige Amir Rami Ouda wurde durch einen Drohnenangriff getötet, während er und seine Familie im Hauptquartier von Al-Amal/PRCS Schutz suchten.","Amir und seine Familie glaubten, in der PRCS-Einrichtung in Sicherheit zu sein, doch tragischerweise irrten sie sich. Der 13-Jährige verlor heute im PRCS-Al-Amal-Krankenhaus in Khan Younis sein Leben, nachdem er von einer israelischen Drohne getroffen worden war [PRCS on X]. Amir und seiner Familie war geraten worden, in der PRCS-Einrichtung zu bleiben, da diese eine sichere Zone sei. Amir spielte gerade mit seinen Cousins, als er getötet wurde.",
INC-026,Al-Amal Hospital,FAC-005,Streiks-Umgebung,In der Nähe eines Krankenhauses kam es den zweiten Tag in Folge und zum fünften Mal in dieser Woche zu einem Anschlag [OCHA-Eilmeldung Nr. 79]. Bei dem jüngsten Anschlag wurden zehn Menschen getötet und 21 verletzt; am Vortag waren Berichten zufolge 31 Menschen getötet und 25 verletzt worden [WAFA].,"Am 28. Dezember wurde die Gegend um das Al-Amal-Krankenhaus laut Angaben des Palästinensischen Roten Halbmonds (PRCS) den zweiten Tag in Folge und den fünften Tag in dieser Woche angegriffen. Zehn Menschen kamen bei diesem Angriff ums Leben, am Vortag waren es 31. Bei beiden Angriffen wurden Dutzende verletzt. Schätzungsweise 14.000 Binnenvertriebene suchen im Krankenhaus und seiner Umgebung Schutz.",
INC-027,Al-Amal Hospital,FAC-005,Invasion,"Das israelische Militär stürmte zum dritten Mal den Innenhof, eröffnete das Feuer und traf fünf Fahrzeuge, darunter drei Krankenwagen.","Die schweren Kämpfe in der Nähe der Krankenhäuser Nasser und Al-Amal in Khan Younis dauern an und gefährden die Sicherheit des medizinischen Personals, der Verwundeten und Kranken sowie Tausender Binnenvertriebener, die in den Krankenhäusern Zuflucht suchen. Am 1. Februar berichtete der Palästinensische Rote Halbmond (PRCS), dass das israelische Militär zum dritten Mal die Höfe des Krankenhauses gestürmt und das Feuer eröffnet habe. Dabei wurden fünf Fahrzeuge, darunter drei Krankenwagen, getroffen.",
INC-028,Al-Amal Hospital,FAC-005,Beschussumgebung,"Bei einem Beschuss am Eingang von Al-Amal wurde eine Person getötet, und Israel erließ eine Evakuierungsanordnung für ein Gebiet, das auch Al-Amal umfasst.","Am 23. Januar wurde die Umgebung des Al-Amal-Krankenhauses in Khan Younis Berichten zufolge beschossen, während es rund um das Krankenhaus zu heftigen Kämpfen kam; ein Palästinenser soll am Eingang des Al-Amal-Krankenhauses getötet worden sein.",
INC-029,Al-Amal Hospital,FAC-005,schlagen,"Das Hauptquartier der Volksrepublik China in Al-Amal wurde angegriffen, wobei 3 Menschen getötet und mindestens 2 weitere verletzt wurden.","Am 24. Januar wurde der Eingang des Hauptquartiers der Palästinensischen Volkskongressorganisation (PRCS) Berichten zufolge angegriffen, wobei mindestens drei Palästinenser getötet und zwei weitere verletzt wurden. Die PRCS erklärte, sie sei gezwungen, Binnenvertriebene, die auf dem Gelände Schutz suchen, um Blutspenden zu bitten, da die Mitarbeiter keinen Zugang zu Blutbanken hätten.",
INC-030,Al-Amal Hospital,FAC-005,Bombardierungsumgebung,Schwere Bombardierungen in der Region gefährden die Sicherheit von Patienten und Krankenhauspersonal.,"Die Besatzungsmächte bombardieren weiterhin die Umgebung des Krankenhauses und eröffnen das Feuer, wodurch die Sicherheit des medizinischen Personals, der Verwundeten, der Patienten und von etwa 7000 Vertriebenen, die dort Zuflucht vor den israelischen Bombardierungen gesucht haben, gefährdet wird.",
INC-031,Al-Amal Hospital,FAC-005,"Granatsplitter, Evakuierung, Angriff",Granatsplitter trafen das Krankenhaus und töteten angeblich einen Menschen und verletzten neun weitere. Laut dem israelischen Militärrat (PRCS) wurde das Krankenhaus später gestürmt und die Menschen unter Waffengewalt zur Evakuierung gezwungen. Die israelischen Streitkräfte (IDF) dementieren dies. Zudem musste die chirurgische Station am 29. Januar aufgrund von Sauerstoffmangel den Betrieb einstellen. Die Kämpfe in der Region behindern den Zugang von Rettungskräften und medizinischem Personal zu den Verletzten.,"Am 30. Januar fielen Granatsplitter auf das Hauptquartier von Al-Amal und der Volksrepublik China, wobei ein Mensch getötet und neun weitere verletzt wurden. Die israelischen Streitkräfte (IDF) ordneten unter Waffengewalt die Evakuierung des Krankenhausgebäudes an (OCHA Flash Update #106). Später stürmten israelische Streitkräfte das Krankenhaus, zerstörten eine der Gebäudewände und setzten scharfe Munition sowie Rauchbomben ein. Schätzungsweise 7.000 Binnenvertriebene suchten zu diesem Zeitpunkt in der Einrichtung Schutz. WAFA berichtet, dass die Invasion zu einem Brand in den Zelten einiger Vertriebener führte.",
INC-032,Al-Amal Hospital,FAC-005,"Schüsse, Invasion","Der Krankenhaushof wurde von israelischen Streitkräften gestürmt. Zwei Krankenhausmitarbeiter wurden am Eingang durch israelisches Feuer getötet, und laut einem Bericht von Al Jazeera wurden mindestens zehn Menschen verletzt. Eine Frau und ein Säugling starben im Krankenhaus aufgrund von Sauerstoffmangel. Al Jazeera berichtete von zwölf Toten und sechs Verletzten, doch der von ihnen als Quelle angegebene Beitrag des PRCS ist nicht mehr verfügbar, und diese Zahlen tauchen in anderen Quellen nicht auf.","Am 31. Januar meldete der Palästinensische Rote Halbmond (PRCS), dass ein Mitarbeiter des Al-Amal-Krankenhauses in der Nähe des Krankenhaustors durch Schüsse getötet wurde. Am selben Tag starben laut PRCS eine ältere Frau und ein Säugling im Al-Amal-Krankenhaus an Sauerstoffmangel und wurden im Krankenhaushof beerdigt. Ebenfalls am 31. Januar berichtete der PRCS, dass der Innenhof des Al-Amal-Krankenhauses gestürmt und israelische Streitkräfte vor dem Außentor der Notaufnahme positioniert worden seien. Am 31. und 30. Januar wurden Angriffe in der Nähe des Al-Amal-Krankenhauses und des PRCS-Hauptsitzes in Khan Younis gemeldet. [OCHA 107]",
INC-033,Al-Amal Hospital,FAC-005,schlagen,"Fünf Tote und drei Verletzte, darunter ein Ersthelfer; erhebliche Sachschäden an der Anlage.","Das Al-Amal-Krankenhaus wurde angegriffen, wobei fünf Vertriebene, darunter ein fünf Tage altes Baby, ums Leben kamen und drei weitere verletzt wurden. Unter den Verletzten befand sich ein freiwilliger Ersthelfer. Der Angriff beschädigte das Krankenhausgebäude schwer, und viele der 14.000 dort Schutzsuchenden beschlossen, das Krankenhaus zu verlassen. Die im Krankenhaus verbliebenen Vertriebenen sorgen sich um ihre Sicherheit und erwägen ebenfalls, das Krankenhaus zu verlassen.",
INC-034,Al-Amal Hospital,FAC-005,Beschussumgebung,Das Gebäude wurde durch heftigen Beschuss in der Nähe des Krankenhauses beschädigt.,"Am 14. und 15. Februar meldete die PRCS, dass das Al-Amal-Krankenhausgebäude durch heftigen Beschuss in der Nähe des Krankenhauses beschädigt wurde.",
INC-035,Al-Amal Hospital,FAC-005,unbekannt,Im zweiten Stock traf ein Tankbrand zwei Krankenstationen,"Panzerabwehrpanzer haben soeben das zweite Stockwerk des Al-Amal-Krankenhauses in Khan Yunis angegriffen und dabei zwei Krankenzimmer schwer beschädigt. Glücklicherweise wurden weder Personal noch Patienten verletzt. Es ist anzumerken, dass die Panzerabwehrpanzer seit zwei Wochen die Krankenhaustore blockieren und so jegliche Hilfslieferungen und logistische Versorgung verhindern.",
INC-036,Al-Amal Hospital,FAC-005,Artilleriebeschuss,"Drittes Stockwerk durch Artilleriebeschuss beschädigt, zentraler Wartungsraum zerstört","Am 18. Februar meldete die PRCS, dass das dritte Stockwerk des Krankenhauses durch Artilleriebeschuss beschädigt und der zentrale Wartungsraum zerstört worden sei.",
INC-037,Al-Amal Hospital,FAC-005,Artilleriebeschuss,"Bombardierungen verursachten Schäden an Gebäuden, darunter auch an der Meerwasserentsalzungsanlage, die außer Betrieb gesetzt wurde, sodass nur noch Trinkwasser für drei Tage vorhanden war.","Am 19. Februar berichtete PRCS, dass die Meerwasserentsalzungsanlage der Einrichtung nach einem Angriff israelischer Streitkräfte außer Betrieb sei und das verfügbare Trinkwasser nur noch für drei Tage reiche. Die Einrichtung leidet bereits unter einem Mangel an Treibstoffreserven zur Stromversorgung von Risikopatienten und fast erschöpften Lebensmittelvorräten. Berichten zufolge wurde sie zudem durch jüngsten Artilleriebeschuss beschädigt.",
INC-038,Al-Amal Hospital,FAC-005,Bombardierung,Bei dem Angriff auf das dritte und vierte Stockwerk des Krankenhauses wurden vier Personen verletzt und zwei Zimmer in Brand gesetzt.,"Das Al-Amal-Krankenhaus ist derzeit mehreren Angriffen ausgesetzt. Israelische Streitkräfte haben das dritte Stockwerk des Krankenhauses direkt angegriffen und dabei zwei Räume in Brand gesetzt. Zusätzlich wurden die Wasserleitungen des Krankenhauses beschädigt. Außerdem wurde ein gegenüberliegendes Haus angegriffen, während sich ein Team des Palästinensischen Hilfswerks für Zivilisten (PRCS) und eine Delegation des UNRWA im Innenhof des Al-Amal-Krankenhauses aufhielten (PRCS auf Facebook). In einem Beitrag auf Facebook (X) gibt das PRCS an, dass drei Begleitpersonen von Patienten bei dem Angriff verletzt wurden. Der humanitäre Reaktionsbericht Nr. 3/2024 spricht hingegen von vier verletzten Mitarbeitern und Patienten. Aufgrund unklarer Angaben werden diese vier Verletzungen als zivile Verletzungen erfasst. Verschiedene Quellen berichten zudem, dass das dritte oder vierte Stockwerk des Krankenhauses angegriffen wurde.",
INC-039,Al-Amal Hospital,FAC-005,Umgebung bombardiert,Die Umgebung von Al-Amal und der Volksrepublik China wurde mehrfach bombardiert.,"Am 3. Januar wurde das Gebiet um das Al-Amal-Krankenhaus und das Hauptquartier des Palästinensischen Roten Halbmonds (PRCS) in Khan Younis im Laufe des Tages mehrfach bombardiert. Die Zahl der Opfer ist noch unbestätigt. Mehrere vertriebene Familien, die in dem Gebäude und im Hauptquartier des PRCS Schutz gesucht hatten, versuchten infolge der Bombardierungen vom 2. Januar zu evakuieren. Ein vom PRCS betriebenes Ausbildungszentrum innerhalb des Krankenhauskomplexes wurde schwer beschädigt. Vertreter des Büros für die Koordinierung der Koordinierungsstellen für humanitäre Angelegenheiten (OCHA) und der Weltgesundheitsorganisation (WHO) besuchten das Krankenhaus und stellten das Ausmaß der Zerstörung und die Vertreibung von Zivilisten fest. Schätzungsweise 14.000 Menschen suchten zum Zeitpunkt des Angriffs im Krankenhaus Schutz.",
INC-040,Al-Amal Hospital,FAC-005,Invasion / Bodenangriff,"Das israelische Militär hat das Krankenhauspersonal und verletzte Patienten gezwungen, das Al-Amal-Krankenhaus zu evakuieren und die Eingänge mit Erdbarrieren verschlossen; das Krankenhaus ist nicht mehr in Betrieb.","In Khan Younis zwang das israelische Militär inmitten intensiver Militäroperationen Krankenhauspersonal und verletzte Patienten mit Hilfe von Rauchbomben zur Evakuierung des Al-Amal-Krankenhauses. Laut dem Palästinensischen Roten Halbmond (PRCS) wurde zudem das Krankenhaustor geschlossen und die Zufahrtsstraßen mit Erdbarrieren blockiert. Ab der Nacht zum 24. März saßen Personal und Patienten 20 Stunden lang in Krankenwagen vor dem Krankenhaus fest, da die umliegenden Straßen beschädigt und von der israelischen Armee (IDF) errichtete Erdbarrieren errichtet worden waren. Als zwei Personen versuchten, Trümmer von der Straße zu räumen, wurden sie von IDF-Soldaten beschossen (PRCS am X). Am 25. März evakuierten der PRCS, das Internationale Komitee vom Roten Kreuz (IKRK) und OCHA sechs Patienten und eine Begleitperson sowie 27 Mitarbeiter und bargen die Leichen zweier im Krankenhaus getöteter Personen, darunter ein PRCS-Freiwilliger, der dem Notfallzentrum angehörte. Seit dem 26. März sind sowohl das Krankenhaus als auch die nahegelegene PRCS-Zentrale außer Betrieb. Am selben Tag veröffentlichte die IFRC eine Erklärung, in der sie betonte, dass die seit über 40 Tagen andauernden Kampfhandlungen im und um das Al-Amal-Krankenhaus die Teams und Patienten der Volksrepublik China in große Gefahr gebracht hätten und dass die „erzwungene Schließung des Al-Amal-Krankenhauses, einer der wenigen verbliebenen medizinischen Einrichtungen im Süden [und des zweiten geschlossenen Krankenhauses der Volksrepublik China], weitreichende Folgen hat und unzählige Menschenleben gefährdet.“ [OCHA Flash Update #147]",
INC-041,Al-Amal Hospital,FAC-005,Umgebung bombardiert,Dritter Tag in Folge Bombardierung des Gebiets um das Al-Amal-Krankenhaus mit zahlreichen Toten und Verletzten sowie Schäden an den Kommunikationsleitungen.,"Am 4. Januar wurde die Gegend um das Al-Amal-Krankenhaus und das Hauptquartier des Palästinensischen Roten Halbmonds (PRCS) in Khan Yunis den dritten Tag in Folge angegriffen. Der PRCS berichtete, dass sieben Binnenvertriebene, die in dem Gelände Schutz gesucht hatten, darunter ein fünf Tage altes Baby, getötet wurden (fünf Todesfälle, darunter der Tod des Babys, ereigneten sich am 2. Januar, zwei weitere am 3. oder 4. Januar). Elf weitere Personen wurden im Laufe der dreitägigen Bombardierungen verletzt (drei am 2. Januar, acht weitere am 3. oder 4. Januar). Der PRCS berichtete außerdem, dass Dutzende Wohnhäuser und Menschen, die sich am Eingang des Al-Amal-Krankenhauses versammelt hatten, getroffen wurden, was zu Dutzenden weiteren Toten und Verletzten führte (OCHA Flash Update #84). Darüber hinaus wurde durch den Beschuss die Sendestation der PRCS-VHF-Kommunikation zerstört. Dies war das einzige Kommunikationsmittel im PRCS-Hauptquartier in Khan Yunis, nachdem alle Kommunikationsmittel im Gouvernement Khan Yunis zerstört worden waren. Die Beschädigung des VHF-Kommunikationssystems stellt ein großes Hindernis für die Reaktion der Rettungswagenbesatzungen auf Verletzte, Kranke und humanitäre Notfälle dar [PRCS-Bericht vom 4. Januar 2024].",
INC-042,Al-Amal Hospital,FAC-005,Drohnenangriff,Zweiter Stock des Rehabilitationstraktes des Krankenhauses von israelischen Drohnen getroffen,"Heute wurde die Rehabilitationsabteilung im zweiten Stock des PRCS Al-Amal Krankenhauses direkt von israelischen Drohnen beschossen. Es ist wichtig zu erwähnen, dass sich Patienten zur Überwachung und Behandlung in der Abteilung befanden, aber weder Mitarbeiter noch Patienten verletzt wurden. [PRCS on X]",
INC-043,Al-Amal Hospital,FAC-005,unbekannt,"Auf der Facebook-Seite der PRCS wurden Aufnahmen veröffentlicht, die die Schäden am Al-Amal-Krankenhaus nach dem Abzug der israelischen Streitkräfte zeigen.","Die vorsätzliche Zerstörung des Al-Amal-Krankenhauses der Volksrepublik China (PRCS) in Khan Yunis durch israelische Besatzungstruppen hat massive Verwüstung angerichtet und das Krankenhaus unbrauchbar gemacht. Nach dem Eindringen setzten die Soldaten Gewalt, Schüsse und Rauchbomben ein, um die Anwesenden zur Evakuierung zu zwingen [PRCS auf Facebook].",
INC-044,Al-Amal Hospital,FAC-005,"Feindseligkeitsumfeld, eingeschränkter Zugang",Das Krankenhaus ist aufgrund der Feindseligkeiten in der Region praktisch außer Betrieb; neue Patienten können aufgrund der Zugangsbeschränkungen nicht aufgenommen werden.,"Der Zugang zum Krankenhaus ist versperrt, wodurch neue Patienten nicht behandelt werden können und es zu weiteren vermeidbaren Todesfällen kommt. Das Krankenhaus hat noch Patienten, die Hilfe benötigen, nimmt aber keine neuen mehr auf. Zwei Notfallteams – ein nationales und ein internationales – tun ihr Bestes, um die verbliebenen Patienten mit den begrenzten medizinischen Vorräten zu versorgen.",
INC-045,Al-Aqsa Martyrs Hospital,FAC-006,Unbekannt,Zelt im Innenhof des Al-Aqsa-Krankenhauses getroffen,"Während sich das WHO-Team in der medizinischen Einrichtung aufhielt, wurde im Außenbereich des Krankenhauses ein Zelt von Binnenvertriebenen getroffen, wobei vier Zivilisten getötet und mindestens 17 weitere, darunter acht Journalisten, verletzt wurden.",
INC-046,Al-Aqsa Martyrs Hospital,FAC-006,Luftangriff (Hubschrauber),"Berichten zufolge wurden fünf Palästinenser getötet und fünfzehn weitere verletzt, als Zelte von Binnenvertriebenen in der Nähe der Außenkliniken des Krankenhauses getroffen wurden.","Berichten zufolge wurden fünf Palästinenser getötet und 15 weitere, darunter Kinder, verletzt, als Zelte von Binnenvertriebenen in der Nähe der Außenkliniken des Krankenhauses von einem Hubschrauber der israelischen Verteidigungsstreitkräfte getroffen wurden. Der Angriff führte zur Zerstörung und Verbrennung vieler Zelte in dem Gebiet.",
INC-047,Al-Aqsa Martyrs Hospital,FAC-006,Luftangriff,"Die Zelte der Binnenvertriebenen wurden von israelischen Kampfflugzeugen beschossen, was zu zahlreichen Verletzten und Sachschäden führte.","Laut einer Erklärung des Medienbüros der Regierung von Gaza beschossen israelische Kampfflugzeuge Zelte, in denen vertriebene Palästinenser innerhalb der Mauern des Krankenhauses Schutz suchten, was zu einer Reihe von Verletzten und Sachschäden führte.",
INC-048,Al-Aqsa Martyrs Hospital,FAC-006,Streiks,"Das Dach des Verwaltungsgebäudes wurde getroffen, Wassertanks und Solarpaneele wurden beschädigt.","Laut Gesundheitsministerium wurde das Dach des Verwaltungsgebäudes getroffen. Der Sprecher des Krankenhauses erklärte, dass das Krankenhaus von drei Bomben getroffen wurde, wodurch Wassertanks und Solaranlagen beschädigt wurden. Der medizinische Betrieb im Krankenhaus laufe jedoch weiter.",
INC-049,Al-Aqsa Martyrs Hospital,FAC-006,Direkter Treffer (Umgebung),indirekter Schaden am Gebäude,"Zwischen dem 17. und 19. Mai wurden das Al-Aqsa-Krankenhaus in Deir al-Balah, das jordanische Feldlazarett in Khan Younis und das Kamal-Adwan-Krankenhaus im Nord-Gaza indirekt beschädigt, als nahegelegene israelische Angriffe ihre Gebäude oder die Umgebung trafen.",
